User,Comment
@Karinbluearchiv,Ada yg posting closs manta kami gebuk ditempat.  Nabinya sapa tuh
@AddiAdi-,"Rasain lo babi,,, terlalu sombong, di pikir hidup di dunia harus sama dengan pemikiran nya."
@Karinbluearchiv,"3 kewajiban manusia. 
1 ibadah
2 berbakti kepada orang tua
3 HUJAT MEMBER TYMOTYTYD"
@JhonJhin-c8m,Lawanya triliunan ini cm m
@danangprasetyo4378,"Sky holic itu professional gambler, itu ditulis di bio nya."
@Joysisme,Kok bisa ya ada org jadi fllwrs timoti haha
@danangprasetyo4378,"Akademi crypto itu platform edukasi crypto. Tapi yg rugi itu mereka yg tidak belajar, tapi hanya mau cari sinyal aja dan all-in.
Padahal ada rulesnya hanya 1% dari alokasi dana yg dikhusukan untuk trading."
@AsepSprydi-k7b,Apasi receh
@danangprasetyo4378,"Yg dia bilang scam itu ""sistem"" sekolah. Dia bangun sekolah dengan ""sistem"" yg berbeda."
@calonjenazah6901,"sapiosexual, sederhana aja
tak kira sange ama sapi 😅"
@khosinahmad5599,Market judol sudah mulai sepi pak mari kita ramaikan bareng team @skyholic888🎉🎉🎉
@SinyalKuning,"Lu rungkat karna CL njirr, mental lu gak kuat berarti takut minus banyak. dia ajarin buat long term bukan scalping. Pemula maen scalping gila kali, ga sekalian lu main future.
Belajar jangan di timoti, tapi perkuat dulu mental, pelajarin dulu candle dll.. 
timoti dan influencer lainnya cuma sebagai acuan lu aja dan jgn ditelan mentah2.
Saran : pemula masuk crypto perkuat mental dulu.

Hoki timoty gak sama dengan hoki kita, pelajari hoki kita itu dimana tekunin."
@Jaycliper99,Berlebihan banget bang gak ada yg bilang bisa kaya cepet.buset awas kena juga nanti akun lu
@rudysaputra3652,"Kalo untung diam2 adem ayem cengar cengir senyum senyum sambil kentut..


Giliran rugi koar2...biar 1 dunia  tau 😂😂"
@kakekkangencucu8918,Hold
@Adisudibyo58,dia nyuruh buy koin micin dari member nya. dan dia megang 30% harga pump langsung sell timotot. nah member rugi dia untung. dan di ulang berbulan2
@ira8567,"Dinegara-maju2, crypto ini emang ‘scams’ (Pemerintah melarang & menangkapi agen2 nya, tp biasanya agen2 ngumpet dinegara-berkembang). Agen2 biasanya ‘bocil2’ (bkn arti harafiah), yg pengin cepat kaya. Kalo di amrik, makanya oom Trump marah2. Krn agen2 TDK punya pendidikan Master (S2-S3) di Finance aja kagak, boro2 S2/S3 dinegara-maju kan semua HRS bersertifikasi! 14:00 era-baheula Bill Gates emang gampang, DO aja bisa sukses. Tp jaman-now sdh susah, semua HRS lbh berpendidikan & berkemampuan, kalo tdk mau kalah bersaing."
@haniifah21,"Intinya siapapun itu klo yg namanya buka kelas, itu blm kaya dan dia hanya mancari menambah amunisi free margin buat masuk market."
@mohamadsyahrul6874,Harga kelas kan suka2 dia mau taro berapa.. Lo yang tolol ngapain ikut.. Pengen cepat kaya???... Itu resiko nya.. Rasain
@Dodygues,Kalo mau kaya ya harus jd penipu😂
@sitiarti5686,"sya dri awal liat muka nya ajh udh ga percaya isi nya kosong, apa lagi sma kaka nya yg muka jelas bgt pura2 pintar"
@louisiana8622,Apa yg abg jerry pegang tu?. Msa awal video?
@hendrikprastyo2786,Kualat sama coach justin 🤣
@utuberamatir,Timothy Rungkad
@zema07-6k,"Cripto,, klo mau untung wajib harus ada yg rugi. Itulah cripto"
@anjaradiyansah4763,p
@Raswadi-x9p,UP#
@AlyaRahma-m6s,😂😅siapa lagi yg sering pamer supercar kalian selanjutnya
@AlyaRahma-m6s,"😂🤣🤣🤣🤣🤣🤣 ternyata benar pirasat sya, si ronal itu sama aja kaya si indra ken 😂  so soan si lu gaya bicaranya aja udh bikin muak tu si ronal 😂 cuma numpang doang belagu"
